Context,Target,Images,Labels
"at((7, 3),_u0). at((2, 4),_u1). at((0, 5),_u2). at((5, 4),_u3). at((5, 0),_u4). at((4, 7),_u5). at((6, 6),_u6). at((2, 1),_u7). at((1, 2),_u8). at((4, 4),_u9).",sat.,"[77, 136, 178, 259, 150, 118, 119, 163, 180, 266]","[1, 3, 2, 5, 4, 0, 0, 4, 2, 5]"
"at((1, 7),_u0). at((0, 5),_u1). at((3, 1),_u2). at((4, 2),_u3). at((6, 3),_u4). at((7, 6),_u5). at((7, 0),_u6). at((1, 1),_u7). at((5, 7),_u8). at((3, 7),_u9).",sat.,"[121, 149, 164, 187, 78, 273, 278, 166, 156, 157]","[0, 3, 4, 2, 1, 5, 5, 4, 0, 3]"
"at((0, 6),_u0). at((3, 5),_u1). at((4, 0),_u2). at((7, 2),_u3). at((6, 7),_u4). at((2, 1),_u5). at((7, 4),_u6). at((5, 3),_u7). at((3, 7),_u8). at((1, 7),_u9).",sat.,"[189, 194, 169, 179, 284, 99, 181, 190, 217, 287]","[2, 4, 0, 3, 5, 1, 3, 2, 4, 5]"
"at((5, 2),_u0). at((2, 3),_u1). at((6, 3),_u2). at((2, 6),_u3). at((4, 7),_u4). at((1, 6),_u5). at((3, 1),_u6). at((6, 1),_u7). at((0, 0),_u8). at((7, 5),_u9).",sat.,"[199, 192, 306, 198, 102, 222, 206, 237, 104, 213]","[2, 0, 5, 3, 1, 4, 0, 4, 1, 2]"
"at((4, 6),_u0). at((1, 5),_u1). at((5, 2),_u2). at((0, 7),_u3). at((2, 0),_u4). at((4, 7),_u5). at((5, 4),_u6). at((7, 1),_u7). at((0, 3),_u8). at((3, 4),_u9).",sat.,"[203, 220, 316, 209, 105, 257, 207, 112, 328, 210]","[3, 2, 5, 0, 1, 4, 3, 1, 5, 0]"
"at((5, 5),_u0). at((2, 3),_u1). at((7, 0),_u2). at((5, 3),_u3). at((1, 1),_u4). at((5, 7),_u5). at((0, 6),_u6).",sat.,"[271, 215, 113, 332, 233, 216, 228]","[4, 3, 1, 5, 2, 0, 3]"
"at((0, 5),_u0). at((1, 0),_u1). at((6, 7),_u2). at((3, 6),_u3). at((7, 1),_u4). at((0, 2),_u5).",sat.,"[272, 235, 335, 124, 252, 229]","[4, 3, 5, 1, 2, 0]"
"at((2, 2),_u0). at((3, 6),_u1). at((7, 3),_u2). at((1, 0),_u3). at((5, 7),_u4). at((4, 7),_u5). at((6, 3),_u6). at((5, 0),_u7). at((7, 0),_u8). at((0, 3),_u9).",sat.,"[128, 253, 242, 232, 376, 275, 289, 234, 250, 396]","[1, 2, 3, 0, 5, 4, 4, 0, 3, 5]"
"at((4, 5),_u0). at((2, 1),_u1). at((0, 5),_u2). at((6, 3),_u3). at((7, 7),_u4). at((5, 6),_u5). at((6, 0),_u6). at((7, 5),_u7). at((1, 5),_u8).",sat.,"[292, 134, 254, 246, 403, 262, 249, 255, 294]","[4, 1, 3, 0, 5, 2, 0, 3, 4]"
"at((0, 5),_u0). at((6, 2),_u1). at((3, 3),_u2). at((3, 1),_u3). at((7, 4),_u4). at((5, 4),_u5). at((2, 0),_u6). at((4, 6),_u7). at((5, 3),_u8). at((7, 1),_u9). at((7, 7),_u10).",sat.,"[152, 268, 260, 297, 407, 279, 277, 281, 417, 314, 283]","[1, 2, 0, 4, 5, 3, 2, 3, 5, 4, 0]"
"at((5, 5),_u0). at((2, 1),_u1). at((1, 6),_u2). at((4, 7),_u3). at((0, 6),_u4). at((6, 3),_u5).",sat.,"[291, 174, 420, 293, 329, 308]","[3, 1, 5, 0, 4, 2]"
"at((4, 6),_u0). at((7, 0),_u1). at((5, 2),_u2). at((1, 3),_u3). at((0, 6),_u4). at((6, 7),_u5). at((1, 1),_u6). at((3, 1),_u7).",sat.,"[437, 317, 296, 336, 298, 177, 338, 303]","[5, 2, 0, 4, 3, 1, 4, 0]"
"at((0, 0),_u0). at((7, 6),_u1). at((6, 3),_u2). at((3, 5),_u3). at((0, 4),_u4). at((2, 1),_u5). at((3, 4),_u6). at((1, 7),_u7). at((0, 2),_u8). at((2, 5),_u9).",sat.,"[321, 318, 184, 342, 463, 320, 354, 325, 326, 474]","[3, 2, 1, 4, 5, 0, 4, 2, 0, 5]"
"at((3, 4),_u0). at((1, 3),_u1). at((7, 7),_u2). at((6, 2),_u3). at((1, 0),_u4). at((1, 6),_u5). at((5, 0),_u6). at((6, 0),_u7). at((0, 5),_u8).",sat.,"[339, 327, 200, 359, 480, 363, 496, 330, 347]","[2, 3, 1, 0, 5, 4, 5, 3, 2]"
"at((1, 7),_u0). at((0, 2),_u1). at((4, 4),_u2). at((4, 0),_u3). at((2, 1),_u4). at((7, 5),_u5). at((6, 1),_u6).",sat.,"[360, 502, 369, 341, 399, 201, 356]","[2, 5, 4, 3, 0, 1, 3]"
"at((5, 1),_u0). at((3, 2),_u1). at((7, 7),_u2). at((5, 6),_u3). at((1, 0),_u4). at((6, 3),_u5). at((6, 4),_u6). at((0, 5),_u7).",sat.,"[427, 365, 205, 361, 372, 504, 512, 429]","[0, 2, 1, 3, 4, 5, 5, 0]"
"at((7, 3),_u0). at((3, 6),_u1). at((3, 0),_u2). at((2, 2),_u3). at((1, 6),_u4). at((4, 5),_u5). at((5, 0),_u6). at((7, 0),_u7).",sat.,"[513, 373, 392, 208, 435, 375, 405, 379]","[5, 4, 3, 1, 0, 2, 3, 4]"
"at((3, 6),_u0). at((4, 3),_u1). at((0, 0),_u2). at((0, 2),_u3). at((7, 1),_u4). at((1, 5),_u5). at((3, 2),_u6). at((6, 7),_u7). at((5, 4),_u8).",sat.,"[514, 380, 440, 425, 378, 211, 402, 451, 381]","[5, 4, 0, 3, 2, 1, 4, 0, 2]"
"at((6, 6),_u0). at((4, 5),_u1). at((0, 2),_u2). at((3, 7),_u3). at((5, 1),_u4). at((7, 4),_u5). at((1, 0),_u6).",sat.,"[516, 224, 433, 385, 412, 453, 231]","[5, 1, 3, 2, 4, 0, 1]"
"at((0, 1),_u0). at((3, 5),_u1). at((1, 6),_u2). at((6, 3),_u3). at((1, 1),_u4). at((4, 7),_u5). at((5, 0),_u6). at((7, 4),_u7). at((2, 1),_u8). at((4, 2),_u9).",sat.,"[413, 248, 452, 390, 523, 458, 251, 391, 459, 537]","[4, 1, 3, 2, 5, 0, 1, 2, 3, 5]"
"at((2, 3),_u0). at((2, 7),_u1). at((6, 1),_u2). at((6, 6),_u3). at((1, 0),_u4). at((7, 5),_u5). at((0, 3),_u6).",sat.,"[462, 543, 479, 414, 269, 400, 438]","[0, 5, 3, 4, 1, 2, 4]"
"at((6, 2),_u0). at((6, 1),_u1). at((4, 7),_u2). at((4, 1),_u3). at((3, 3),_u4). at((7, 5),_u5). at((1, 0),_u6). at((0, 4),_u7).",sat.,"[544, 442, 486, 464, 270, 410, 473, 490]","[5, 4, 3, 0, 1, 2, 0, 3]"
"at((3, 7),_u0). at((5, 0),_u1). at((2, 1),_u2). at((1, 1),_u3). at((7, 5),_u4). at((6, 2),_u5). at((0, 6),_u6). at((2, 4),_u7). at((5, 6),_u8). at((4, 3),_u9).",sat.,"[495, 489, 554, 461, 432, 276, 579, 519, 500, 444]","[3, 0, 5, 4, 2, 1, 5, 0, 3, 2]"
"at((3, 7),_u0). at((6, 6),_u1). at((2, 5),_u2). at((5, 3),_u3). at((5, 0),_u4). at((4, 1),_u5). at((2, 7),_u6). at((0, 7),_u7). at((0, 3),_u8). at((2, 3),_u9).",sat.,"[610, 290, 524, 509, 481, 448, 540, 526, 531, 614]","[5, 1, 0, 3, 4, 2, 3, 0, 4, 5]"
"at((4, 2),_u0). at((3, 6),_u1). at((6, 7),_u2). at((5, 0),_u3). at((3, 3),_u4). at((1, 3),_u5). at((7, 1),_u6).",sat.,"[457, 527, 620, 309, 541, 546, 549]","[2, 0, 5, 1, 4, 3, 3]"
"at((5, 5),_u0). at((2, 3),_u1). at((4, 5),_u2). at((1, 7),_u3). at((7, 0),_u4). at((0, 3),_u5). at((5, 6),_u6). at((5, 1),_u7).",sat.,"[622, 542, 564, 310, 472, 557, 569, 577]","[5, 0, 4, 1, 2, 3, 4, 0]"
"at((2, 2),_u0). at((6, 7),_u1). at((4, 1),_u2). at((1, 7),_u3). at((7, 5),_u4). at((5, 2),_u5). at((0, 0),_u6). at((3, 6),_u7). at((0, 2),_u8). at((5, 4),_u9). at((1, 4),_u10).",sat.,"[625, 561, 476, 582, 315, 576, 585, 477, 574, 596, 635]","[5, 3, 2, 0, 1, 4, 4, 2, 3, 0, 5]"
"at((0, 3),_u0). at((5, 0),_u1). at((2, 4),_u2). at((3, 5),_u3). at((4, 5),_u4). at((7, 7),_u5). at((4, 1),_u6). at((1, 6),_u7). at((6, 5),_u8).",sat.,"[603, 590, 493, 652, 581, 345, 653, 612, 613]","[0, 4, 2, 5, 3, 1, 5, 0, 3]"
"at((3, 0),_u0). at((4, 7),_u1). at((1, 3),_u2). at((5, 5),_u3). at((7, 2),_u4). at((5, 7),_u5). at((5, 1),_u6). at((0, 6),_u7). at((2, 3),_u8).",sat.,"[351, 629, 679, 633, 515, 605, 639, 530, 606]","[1, 3, 5, 0, 2, 4, 0, 2, 4]"
"at((5, 1),_u0). at((7, 7),_u1). at((1, 6),_u2). at((1, 3),_u3). at((6, 4),_u4). at((3, 5),_u5). at((0, 2),_u6). at((7, 0),_u7). at((0, 3),_u8). at((5, 7),_u9).",sat.,"[656, 643, 690, 616, 355, 548, 647, 662, 645, 699]","[0, 3, 5, 4, 1, 2, 4, 0, 3, 5]"
"at((7, 4),_u0). at((0, 2),_u1). at((3, 7),_u2). at((6, 6),_u3). at((0, 6),_u4). at((1, 0),_u5). at((5, 2),_u6). at((6, 1),_u7). at((2, 3),_u8).",sat.,"[719, 659, 357, 666, 655, 551, 722, 661, 670]","[5, 3, 1, 0, 4, 2, 5, 4, 3]"
"at((6, 7),_u0). at((3, 1),_u1). at((2, 6),_u2). at((4, 2),_u3). at((2, 4),_u4). at((0, 5),_u5). at((4, 6),_u6). at((7, 3),_u7).",sat.,"[358, 663, 675, 748, 667, 555, 668, 558]","[1, 4, 3, 5, 0, 2, 0, 2]"
"at((0, 3),_u0). at((7, 0),_u1). at((7, 5),_u2). at((3, 7),_u3). at((5, 4),_u4). at((2, 6),_u5). at((4, 0),_u6). at((1, 1),_u7). at((5, 0),_u8).",sat.,"[366, 751, 669, 563, 695, 677, 757, 382, 680]","[1, 5, 0, 2, 3, 4, 5, 1, 4]"
"at((6, 6),_u0). at((2, 5),_u1). at((4, 2),_u2). at((1, 7),_u3). at((0, 1),_u4). at((5, 4),_u5). at((3, 1),_u6). at((1, 5),_u7). at((7, 3),_u8). at((3, 0),_u9). at((3, 7),_u10).",sat.,"[689, 715, 568, 768, 682, 394, 692, 771, 570, 731, 702]","[0, 3, 2, 5, 4, 1, 4, 5, 2, 3, 0]"
"at((6, 3),_u0). at((0, 5),_u1). at((4, 6),_u2). at((3, 1),_u3). at((7, 7),_u4). at((3, 4),_u5). at((2, 1),_u6). at((6, 1),_u7).",sat.,"[709, 584, 397, 697, 752, 775, 700, 778]","[0, 2, 1, 4, 3, 5, 4, 5]"
"at((2, 2),_u0). at((0, 7),_u1). at((7, 1),_u2). at((6, 4),_u3). at((3, 0),_u4). at((1, 5),_u5). at((4, 6),_u6). at((2, 3),_u7). at((2, 0),_u8). at((5, 4),_u9).",sat.,"[799, 588, 712, 706, 760, 398, 591, 805, 717, 767]","[5, 2, 0, 4, 3, 1, 2, 5, 4, 3]"
"at((7, 2),_u0). at((4, 1),_u1). at((1, 2),_u2). at((2, 6),_u3). at((7, 7),_u4). at((6, 0),_u5). at((3, 5),_u6). at((4, 7),_u7). at((0, 1),_u8). at((4, 3),_u9). at((0, 2),_u10).",sat.,"[733, 789, 718, 619, 815, 406, 642, 808, 729, 743, 832]","[0, 3, 4, 2, 5, 1, 2, 3, 4, 0, 5]"
"at((7, 4),_u0). at((6, 6),_u1). at((3, 5),_u2). at((0, 0),_u3). at((7, 2),_u4). at((5, 4),_u5). at((1, 4),_u6). at((6, 1),_u7). at((2, 2),_u8).",sat.,"[811, 836, 408, 646, 742, 745, 776, 746, 837]","[3, 5, 1, 2, 4, 0, 0, 4, 5]"
"at((7, 7),_u0). at((2, 0),_u1). at((1, 3),_u2). at((5, 5),_u3). at((6, 1),_u4). at((0, 3),_u5). at((1, 5),_u6). at((4, 2),_u7). at((1, 7),_u8). at((7, 3),_u9).",sat.,"[845, 650, 749, 781, 416, 840, 879, 657, 754, 787]","[5, 2, 4, 0, 1, 3, 5, 2, 4, 0]"
"at((0, 2),_u0). at((7, 1),_u1). at((3, 4),_u2). at((6, 3),_u3). at((2, 4),_u4). at((2, 2),_u5). at((1, 0),_u6). at((4, 6),_u7).",sat.,"[790, 664, 843, 443, 797, 886, 856, 818]","[0, 2, 3, 1, 4, 5, 3, 0]"
"at((1, 0),_u0). at((7, 3),_u1). at((4, 7),_u2). at((3, 3),_u3). at((6, 1),_u4). at((2, 4),_u5). at((0, 5),_u6). at((5, 3),_u7).",sat.,"[899, 857, 825, 804, 447, 673, 450, 912]","[5, 3, 0, 4, 1, 2, 1, 5]"
"at((6, 7),_u0). at((3, 3),_u1). at((6, 4),_u2). at((1, 6),_u3). at((7, 4),_u4). at((2, 1),_u5). at((0, 2),_u6). at((5, 0),_u7).",sat.,"[861, 454, 915, 849, 828, 674, 916, 455]","[3, 1, 5, 0, 4, 2, 5, 1]"
"at((6, 3),_u0). at((3, 7),_u1). at((0, 1),_u2). at((1, 6),_u3). at((1, 7),_u4). at((4, 2),_u5). at((5, 0),_u6). at((7, 7),_u7). at((7, 1),_u8). at((2, 1),_u9).",sat.,"[684, 859, 867, 921, 834, 466, 470, 924, 860, 874]","[2, 0, 3, 5, 4, 1, 1, 5, 0, 3]"
"at((1, 4),_u0). at((1, 7),_u1). at((1, 0),_u2). at((6, 1),_u3). at((7, 5),_u4). at((5, 6),_u5). at((3, 2),_u6).",sat.,"[842, 875, 869, 947, 688, 475, 847]","[4, 3, 0, 5, 2, 1, 4]"
"at((3, 0),_u0). at((7, 1),_u1). at((2, 4),_u2). at((6, 5),_u3). at((2, 7),_u4). at((5, 4),_u5). at((1, 4),_u6). at((0, 4),_u7). at((4, 3),_u8). at((0, 6),_u9).",sat.,"[484, 878, 956, 693, 872, 848, 960, 850, 696, 889]","[1, 3, 5, 2, 0, 4, 5, 4, 2, 0]"
"at((1, 0),_u0). at((5, 1),_u1). at((6, 6),_u2). at((1, 6),_u3). at((0, 3),_u4). at((3, 0),_u5). at((7, 7),_u6). at((3, 5),_u7). at((1, 2),_u8).",sat.,"[964, 491, 851, 890, 713, 903, 714, 895, 855]","[5, 1, 4, 3, 2, 0, 2, 3, 4]"
"at((3, 7),_u0). at((0, 3),_u1). at((7, 5),_u2). at((1, 1),_u3). at((5, 0),_u4). at((5, 2),_u5). at((4, 6),_u6). at((5, 4),_u7).",sat.,"[716, 492, 927, 970, 909, 877, 732, 943]","[2, 1, 0, 5, 3, 4, 2, 0]"
"at((3, 2),_u0). at((6, 6),_u1). at((2, 0),_u2). at((4, 7),_u3). at((7, 3),_u4). at((0, 5),_u5). at((1, 5),_u6). at((5, 4),_u7).",sat.,"[774, 985, 953, 507, 949, 882, 1024, 801]","[2, 5, 3, 1, 0, 4, 5, 2]"
"at((7, 3),_u0). at((5, 1),_u1). at((5, 2),_u2). at((3, 5),_u3). at((2, 7),_u4). at((5, 6),_u5). at((1, 1),_u6). at((0, 4),_u7). at((5, 0),_u8).",sat.,"[807, 894, 1032, 508, 966, 952, 1039, 510, 975]","[2, 4, 5, 1, 3, 0, 5, 1, 3]"
"at((2, 1),_u0). at((5, 4),_u1). at((6, 5),_u2). at((1, 7),_u3). at((6, 1),_u4). at((6, 6),_u5). at((0, 5),_u6). at((4, 0),_u7). at((0, 1),_u8).",sat.,"[957, 813, 896, 533, 1062, 983, 965, 814, 992]","[0, 2, 4, 1, 5, 3, 0, 2, 3]"
"at((0, 2),_u0). at((7, 5),_u1). at((4, 1),_u2). at((5, 4),_u3). at((1, 6),_u4). at((1, 4),_u5). at((6, 0),_u6). at((7, 4),_u7). at((3, 4),_u8).",sat.,"[535, 1071, 830, 998, 897, 979, 984, 1087, 906]","[1, 5, 2, 3, 4, 0, 0, 5, 4]"
"at((7, 6),_u0). at((4, 7),_u1). at((3, 5),_u2). at((5, 2),_u3). at((2, 2),_u4). at((4, 2),_u5). at((1, 0),_u6). at((0, 1),_u7). at((6, 7),_u8).",sat.,"[844, 1089, 538, 1007, 997, 914, 854, 1104, 926]","[2, 5, 1, 3, 0, 4, 2, 5, 4]"
"at((0, 0),_u0). at((4, 2),_u1). at((1, 2),_u2). at((7, 4),_u3). at((2, 7),_u4). at((4, 4),_u5).",sat.,"[862, 937, 1000, 1021, 552, 1109]","[2, 4, 0, 3, 1, 5]"
"at((1, 1),_u0). at((4, 7),_u1). at((4, 1),_u2). at((7, 5),_u3). at((2, 3),_u4). at((3, 7),_u5). at((5, 6),_u6). at((6, 1),_u7).",sat.,"[1035, 945, 1015, 553, 863, 1111, 866, 1018]","[3, 4, 0, 1, 2, 5, 2, 0]"
"at((3, 6),_u0). at((6, 5),_u1). at((2, 1),_u2). at((0, 1),_u3). at((0, 2),_u4). at((1, 7),_u5). at((5, 0),_u6). at((0, 4),_u7). at((7, 3),_u8).",sat.,"[873, 1028, 1135, 967, 1055, 556, 1068, 1029, 572]","[2, 0, 5, 4, 3, 1, 3, 0, 1]"
"at((0, 3),_u0). at((7, 0),_u1). at((3, 2),_u2). at((1, 5),_u3). at((6, 7),_u4). at((4, 4),_u5). at((7, 6),_u6).",sat.,"[573, 987, 1162, 1040, 893, 1077, 988]","[1, 4, 5, 0, 2, 3, 4]"
"at((2, 1),_u0). at((0, 7),_u1). at((6, 6),_u2). at((7, 4),_u3). at((3, 5),_u4). at((2, 0),_u5). at((5, 1),_u6). at((2, 3),_u7).",sat.,"[1206, 990, 1046, 587, 907, 1097, 1210, 1049]","[5, 4, 0, 1, 2, 3, 5, 0]"
"at((6, 5),_u0). at((4, 0),_u1). at((3, 7),_u2). at((2, 0),_u3). at((4, 5),_u4). at((1, 3),_u5). at((7, 0),_u6). at((0, 5),_u7).",sat.,"[1222, 991, 593, 1076, 1108, 917, 1245, 1078]","[5, 4, 1, 0, 3, 2, 5, 0]"
"at((4, 6),_u0). at((2, 3),_u1). at((5, 1),_u2). at((7, 5),_u3). at((5, 0),_u4). at((1, 0),_u5). at((7, 1),_u6). at((3, 4),_u7). at((1, 2),_u8). at((0, 7),_u9).",sat.,"[604, 931, 1004, 1090, 1263, 1119, 1121, 1265, 1006, 938]","[1, 2, 4, 0, 5, 3, 3, 5, 4, 2]"
"at((4, 6),_u0). at((7, 2),_u1). at((5, 3),_u2). at((7, 6),_u3). at((1, 0),_u4). at((2, 5),_u5). at((1, 1),_u6). at((0, 4),_u7).",sat.,"[1130, 1093, 946, 1276, 1008, 609, 1030, 989]","[3, 0, 2, 5, 4, 1, 4, 2]"
"at((2, 3),_u0). at((7, 4),_u1). at((1, 6),_u2). at((0, 3),_u3). at((5, 0),_u4). at((5, 5),_u5). at((4, 7),_u6). at((3, 2),_u7). at((6, 0),_u8). at((5, 3),_u9).",sat.,"[1037, 1010, 618, 1102, 1278, 1144, 1107, 1011, 1283, 1145]","[4, 2, 1, 0, 5, 3, 0, 2, 5, 3]"
"at((0, 5),_u0). at((7, 1),_u1). at((3, 6),_u2). at((4, 3),_u3). at((5, 7),_u4). at((2, 6),_u5). at((1, 2),_u6). at((4, 0),_u7). at((2, 0),_u8).",sat.,"[637, 1033, 1150, 1050, 1128, 1285, 638, 1137, 1288]","[1, 2, 3, 4, 0, 5, 1, 0, 5]"
"at((2, 0),_u0). at((7, 6),_u1). at((1, 7),_u2). at((6, 3),_u3). at((0, 5),_u4). at((1, 3),_u5). at((3, 3),_u6).",sat.,"[1073, 648, 1152, 1151, 1034, 1298, 1158]","[4, 1, 0, 3, 2, 5, 3]"
"at((2, 0),_u0). at((1, 5),_u1). at((7, 2),_u2). at((5, 7),_u3). at((7, 4),_u4). at((0, 1),_u5). at((4, 3),_u6). at((7, 7),_u7). at((5, 0),_u8).",sat.,"[1178, 671, 1168, 1079, 1311, 1047, 676, 1185, 1094]","[3, 1, 0, 4, 5, 2, 1, 3, 4]"
"at((2, 5),_u0). at((0, 0),_u1). at((5, 7),_u2). at((6, 2),_u3). at((4, 0),_u4). at((1, 3),_u5). at((0, 6),_u6). at((7, 4),_u7). at((1, 0),_u8).",sat.,"[678, 1201, 1098, 1048, 1179, 1313, 1324, 691, 1218]","[1, 3, 4, 2, 0, 5, 5, 1, 3]"
"at((4, 5),_u0). at((4, 0),_u1). at((0, 3),_u2). at((3, 7),_u3). at((1, 1),_u4). at((6, 0),_u5). at((2, 4),_u6). at((5, 0),_u7). at((6, 5),_u8). at((7, 0),_u9). at((3, 2),_u10).",sat.,"[1226, 1325, 698, 1195, 1053, 1099, 1058, 1110, 1328, 1233, 1209]","[3, 5, 1, 0, 2, 4, 2, 4, 5, 3, 0]"
"at((5, 7),_u0). at((2, 6),_u1). at((3, 2),_u2). at((7, 3),_u3). at((6, 0),_u4). at((3, 1),_u5). at((3, 6),_u6). at((0, 1),_u7). at((4, 4),_u8). at((1, 5),_u9). at((2, 1),_u10).",sat.,"[710, 1133, 1340, 1074, 1268, 1234, 1241, 1304, 1356, 1096, 1149]","[1, 4, 5, 2, 0, 3, 3, 0, 5, 2, 4]"
"at((7, 6),_u0). at((7, 4),_u1). at((2, 7),_u2). at((5, 3),_u3). at((3, 7),_u4). at((1, 5),_u5). at((6, 1),_u6). at((0, 2),_u7). at((4, 7),_u8). at((4, 0),_u9). at((7, 7),_u10).",sat.,"[1382, 1310, 1244, 711, 1160, 1124, 738, 1129, 1163, 1402, 1260]","[5, 0, 3, 1, 4, 2, 1, 2, 4, 5, 3]"
"at((6, 1),_u0). at((5, 3),_u1). at((1, 4),_u2). at((0, 4),_u3). at((4, 7),_u4). at((7, 7),_u5). at((0, 6),_u6). at((7, 6),_u7). at((3, 5),_u8).",sat.,"[747, 1134, 1406, 1164, 1346, 1290, 1413, 1171, 1349]","[1, 2, 5, 4, 0, 3, 5, 4, 0]"
"at((2, 6),_u0). at((3, 2),_u1). at((0, 3),_u2). at((6, 4),_u3). at((7, 0),_u4). at((5, 5),_u5). at((1, 7),_u6). at((2, 0),_u7). at((4, 0),_u8). at((0, 6),_u9). at((0, 1),_u10).",sat.,"[1172, 765, 1359, 1140, 1295, 1420, 1143, 1430, 1312, 1176, 1363]","[4, 1, 0, 2, 3, 5, 2, 5, 3, 4, 0]"
"at((0, 0),_u0). at((0, 4),_u1). at((1, 7),_u2). at((5, 1),_u3). at((4, 3),_u4). at((2, 3),_u5). at((7, 2),_u6). at((6, 5),_u7). at((0, 3),_u8). at((4, 4),_u9). at((2, 0),_u10). at((4, 6),_u11).",sat.,"[1180, 1315, 1165, 779, 1433, 1367, 780, 1175, 1187, 1442, 1317, 1368]","[4, 3, 2, 1, 5, 0, 1, 2, 4, 5, 3, 0]"
"at((2, 3),_u0). at((3, 5),_u1). at((7, 2),_u2). at((1, 6),_u3). at((0, 0),_u4). at((5, 4),_u5). at((0, 6),_u6). at((4, 7),_u7). at((6, 0),_u8). at((0, 4),_u9). at((6, 6),_u10).",sat.,"[1320, 783, 1183, 1467, 1196, 1371, 1198, 809, 1468, 1336, 1372]","[3, 1, 2, 5, 4, 0, 4, 1, 5, 3, 0]"
"at((5, 6),_u0). at((4, 0),_u1). at((0, 4),_u2). at((1, 1),_u3). at((3, 5),_u4). at((7, 2),_u5). at((4, 1),_u6). at((7, 0),_u7).",sat.,"[1341, 1481, 1188, 1203, 821, 1377, 1348, 1482]","[3, 5, 2, 4, 1, 0, 3, 5]"
"at((3, 2),_u0). at((7, 7),_u1). at((0, 6),_u2). at((7, 4),_u3). at((2, 0),_u4). at((1, 3),_u5). at((4, 5),_u6). at((7, 1),_u7). at((3, 7),_u8). at((0, 4),_u9).",sat.,"[1485, 1386, 1212, 1351, 833, 1199, 1213, 1490, 1387, 1215]","[5, 0, 4, 3, 1, 2, 2, 5, 0, 4]"
"at((3, 7),_u0). at((7, 6),_u1). at((4, 4),_u2). at((0, 2),_u3). at((0, 5),_u4). at((6, 1),_u5). at((2, 0),_u6). at((6, 3),_u7). at((5, 1),_u8). at((7, 5),_u9).",sat.,"[1246, 1509, 835, 1403, 1357, 1220, 1227, 1423, 1378, 1514]","[2, 5, 1, 0, 3, 4, 4, 0, 3, 5]"
